Date,ENGI FP Equity,CS FP Equity
2021-09-22,11.63,23.045
2021-09-21,11.75,22.625
2021-09-20,11.746,22.37
2021-09-17,11.834,23.095
2021-09-16,11.764,23.33
2021-09-15,11.77,23.26
2021-09-14,11.986,23.255
2021-09-13,11.972,23.48
2021-09-10,11.758,23.225
2021-09-09,12.004,23.35
2021-09-08,12.028,23.37
2021-09-07,11.888,23.645
2021-09-06,12.056,23.765
2021-09-03,11.994,23.59
2021-09-02,12.09,23.765
2021-09-01,12.256,23.86
2021-08-31,12.132,23.78
2021-08-30,12.08,23.955
2021-08-27,12.034,24.065
2021-08-26,12.048,24.04
2021-08-25,12.212,24.135
2021-08-24,12.374,24.17
2021-08-23,12.316,24.145
2021-08-20,12.338,23.99
2021-08-19,12.164,23.925
2021-08-18,12.148,24.42
2021-08-17,11.95,24.165
2021-08-16,11.952,24.33
2021-08-13,11.922,24.445
2021-08-12,11.794,24.265
2021-08-11,11.80,24.105
2021-08-10,11.682,23.84
2021-08-09,11.654,23.77
2021-08-06,11.65,23.68
2021-08-05,11.622,23.38
2021-08-04,11.518,23.15
2021-08-03,11.482,23.095
2021-08-02,11.346,22.805
2021-07-30,11.252,21.88
2021-07-29,11.60,21.915
2021-07-28,11.558,21.825
2021-07-27,11.398,21.805
2021-07-26,11.486,21.90
2021-07-23,11.464,21.77
2021-07-22,11.316,21.765
2021-07-21,11.182,21.64
2021-07-20,11.092,21.21
2021-07-19,11.228,21.00
2021-07-16,11.622,21.62
2021-07-15,11.456,21.765
2021-07-14,11.612,21.815
2021-07-13,11.618,21.77
2021-07-12,11.64,21.825
2021-07-09,11.606,21.815
2021-07-08,11.528,21.285
2021-07-07,11.68,21.615
2021-07-06,11.594,21.56
2021-07-05,11.698,21.905
2021-07-02,11.754,21.75
2021-07-01,11.732,21.69
2021-06-30,11.554,21.385
2021-06-29,11.566,21.665
2021-06-28,11.592,21.605
2021-06-25,11.63,21.98
2021-06-24,11.684,21.73
2021-06-23,11.57,21.42
2021-06-22,11.73,21.68
2021-06-21,11.80,21.825
